index,name,title,fleet,fleet_code,description,model_hint,environment,connectors,token_tier,outputs,next_skills
68,zeref-qa-launch-readiness-manager,Launch Readiness Manager,Testing & Quality Team,qa,"Operates as the Launch Readiness Manager for Zeref Skills Fleet work. Use when the project requires launch readiness manager judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Launch_Readiness_Checklist.md; Launch_Blocker_List.md,
69,zeref-qa-rubric-alignment-auditor,Rubric Alignment Auditor,Testing & Quality Team,qa,"Operates as the Rubric Alignment Auditor for Zeref Skills Fleet work. Use when the project requires rubric alignment auditor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Rubric_Compliance_Report.md; Rubric_Fix_Plan.md,
70,zeref-qa-final-quality-gatekeeper,Final Quality Gatekeeper,Testing & Quality Team,qa,"Operates as the Final Quality Gatekeeper for Zeref Skills Fleet work. Use when the project requires final quality gatekeeper judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL-XXL,Final_QA_Signoff.md; Final_Fix_List.md,
71,zeref-mkt-chief-marketing-strategist,Chief Marketing Strategist,Marketing Team,mkt,"Operates as the Chief Marketing Strategist for Zeref Skills Fleet work. Use when the project requires chief marketing strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Marketing_Strategy.md; Marketing_Roadmap.md,
72,zeref-mkt-brand-strategist,Brand Strategist,Marketing Team,mkt,"Operates as the Brand Strategist for Zeref Skills Fleet work. Use when the project requires brand strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Brand_Strategy_Guide.md; Messaging_Pillars.md,
73,zeref-mkt-positioning-strategist,Positioning Strategist,Marketing Team,mkt,"Operates as the Positioning Strategist for Zeref Skills Fleet work. Use when the project requires positioning strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Positioning_Brief.md; Positioning_Statement.md,
74,zeref-mkt-gtm-strategist,GTM Strategist,Marketing Team,mkt,"Operates as the GTM Strategist for Zeref Skills Fleet work. Use when the project requires gtm strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,GTM_Plan.md; Launch_Channel_Plan.md,
75,zeref-mkt-seo-strategist,SEO Strategist,Marketing Team,mkt,"Operates as the SEO Strategist for Zeref Skills Fleet work. Use when the project requires seo strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,SEO_Strategy.md; Keyword_Map.md; Metadata_Plan.md,
76,zeref-mkt-content-marketing-strategist,Content Marketing Strategist,Marketing Team,mkt,"Operates as the Content Marketing Strategist for Zeref Skills Fleet work. Use when the project requires content marketing strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Content_Marketing_Plan.md; Content_Calendar.md,
77,zeref-mkt-social-media-strategist,Social Media Strategist,Marketing Team,mkt,"Operates as the Social Media Strategist for Zeref Skills Fleet work. Use when the project requires social media strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Social_Media_Strategy.md; Social_Content_Calendar.md,
78,zeref-mkt-performance-marketing-specialist,Performance Marketing Specialist,Marketing Team,mkt,"Operates as the Performance Marketing Specialist for Zeref Skills Fleet work. Use when the project requires performance marketing specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Paid_Media_Strategy.md; Campaign_Test_Plan.md,
79,zeref-mkt-affiliate-marketing-strategist,Affiliate Marketing Strategist,Marketing Team,mkt,"Operates as the Affiliate Marketing Strategist for Zeref Skills Fleet work. Use when the project requires affiliate marketing strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Affiliate_Strategy.md; Referral_Program_Plan.md,
80,zeref-mkt-email-marketing-specialist,Email Marketing Specialist,Marketing Team,mkt,"Operates as the Email Marketing Specialist for Zeref Skills Fleet work. Use when the project requires email marketing specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Email_Marketing_Strategy.md; Lifecycle_Email_Map.md,
81,zeref-mkt-growth-marketer,Growth Marketer,Marketing Team,mkt,"Operates as the Growth Marketer for Zeref Skills Fleet work. Use when the project requires growth marketer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Growth_Experiment_Plan.md; Growth_Backlog.md,
82,zeref-mkt-conversion-rate-optimizer,Conversion Rate Optimizer,Marketing Team,mkt,"Operates as the Conversion Rate Optimizer for Zeref Skills Fleet work. Use when the project requires conversion rate optimizer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,CRO_Audit.md; Conversion_Test_Plan.md,
83,zeref-mkt-analytics-specialist,Marketing Analytics Specialist,Marketing Team,mkt,"Operates as the Marketing Analytics Specialist for Zeref Skills Fleet work. Use when the project requires marketing analytics specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Marketing_Analytics_Plan.md; Dashboard_Spec.md,
84,zeref-mkt-community-strategist,Community Strategist,Marketing Team,mkt,"Operates as the Community Strategist for Zeref Skills Fleet work. Use when the project requires community strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Community_Growth_Plan.md; Community_Operations_Guide.md,
85,zeref-mkt-pr-communications-specialist,PR & Communications Specialist,Marketing Team,mkt,"Operates as the PR & Communications Specialist for Zeref Skills Fleet work. Use when the project requires pr & communications specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,PR_Messaging_Kit.md; Announcement_Brief.md,
86,zeref-mkt-personal-branding-strategist,Personal Branding Strategist,Marketing Team,mkt,"Operates as the Personal Branding Strategist for Zeref Skills Fleet work. Use when the project requires personal branding strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,Personal_Brand_Strategy.md; Profile_Optimization_Plan.md,
87,zeref-cnt-editorial-director,Editorial Director,Content Writing & Creation Team,cnt,"Operates as the Editorial Director for Zeref Skills Fleet work. Use when the project requires editorial director judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Editorial_Strategy.md; Publishing_Standards.md,
88,zeref-cnt-copywriter,Copywriter,Content Writing & Creation Team,cnt,"Operates as the Copywriter for Zeref Skills Fleet work. Use when the project requires copywriter judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Copywriting_Drafts.md; CTA_Variants.md,
89,zeref-cnt-ux-case-study-writer,UX Case Study Writer,Content Writing & Creation Team,cnt,"Operates as the UX Case Study Writer for Zeref Skills Fleet work. Use when the project requires ux case study writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L-XL,UX_Case_Study.md; Case_Study_Outline.md,
90,zeref-cnt-technical-case-study-writer,Technical Case Study Writer,Content Writing & Creation Team,cnt,"Operates as the Technical Case Study Writer for Zeref Skills Fleet work. Use when the project requires technical case study writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Technical_Case_Study.md; Dev_Project_Writeup.md,
91,zeref-cnt-long-form-writer,Long-Form Writer,Content Writing & Creation Team,cnt,"Operates as the Long-Form Writer for Zeref Skills Fleet work. Use when the project requires long-form writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Long_Form_Draft.md; Article_Outline.md,
92,zeref-cnt-linkedin-ghostwriter,LinkedIn Ghostwriter,Content Writing & Creation Team,cnt,"Operates as the LinkedIn Ghostwriter for Zeref Skills Fleet work. Use when the project requires linkedin ghostwriter judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,LinkedIn_Content_Pack.md; LinkedIn_Post_Drafts.md,
93,zeref-cnt-scriptwriter,Scriptwriter,Content Writing & Creation Team,cnt,"Operates as the Scriptwriter for Zeref Skills Fleet work. Use when the project requires scriptwriter judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Video_Script.md; Demo_Narration.md,
94,zeref-cnt-presentation-designer,Presentation Designer,Content Writing & Creation Team,cnt,"Operates as the Presentation Designer for Zeref Skills Fleet work. Use when the project requires presentation designer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Presentation_Outline.md; Slide_Content_Draft.md,
95,zeref-cnt-visual-asset-prompt-engineer,Visual Asset Prompt Engineer,Content Writing & Creation Team,cnt,"Operates as the Visual Asset Prompt Engineer for Zeref Skills Fleet work. Use when the project requires visual asset prompt engineer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Visual_Prompt_Library.md; Asset_Direction_Brief.md,
96,zeref-cnt-video-content-strategist,Video Content Strategist,Content Writing & Creation Team,cnt,"Operates as the Video Content Strategist for Zeref Skills Fleet work. Use when the project requires video content strategist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Video_Content_Plan.md; Video_Series_Map.md,
97,zeref-cnt-repurposing-specialist,Content Repurposing Specialist,Content Writing & Creation Team,cnt,"Operates as the Content Repurposing Specialist for Zeref Skills Fleet work. Use when the project requires content repurposing specialist judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Repurposing_Matrix.md; Channel_Content_Map.md,
98,zeref-cnt-seo-content-writer,SEO Content Writer,Content Writing & Creation Team,cnt,"Operates as the SEO Content Writer for Zeref Skills Fleet work. Use when the project requires seo content writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,SEO_Content_Draft.md; Metadata_Drafts.md,
99,zeref-cnt-documentation-writer,Documentation Writer,Content Writing & Creation Team,cnt,"Operates as the Documentation Writer for Zeref Skills Fleet work. Use when the project requires documentation writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Documentation_File.md; SOP_Document.md,
100,zeref-cnt-resume-career-writer,Resume & Career Writer,Content Writing & Creation Team,cnt,"Operates as the Resume & Career Writer for Zeref Skills Fleet work. Use when the project requires resume & career writer judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Resume_Draft.md; Cover_Letter_Draft.md; Recruiter_Message.md,
101,zeref-cnt-brand-voice-editor,Brand Voice Editor,Content Writing & Creation Team,cnt,"Operates as the Brand Voice Editor for Zeref Skills Fleet work. Use when the project requires brand voice editor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Voice_Tone_Audit.md; Polished_Copy.md,
102,zeref-cnt-content-qa-editor,Content QA Editor,Content Writing & Creation Team,cnt,"Operates as the Content QA Editor for Zeref Skills Fleet work. Use when the project requires content qa editor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Final_Edited_Copy.md; Content_QA_Report.md,
103,zeref-final-project-compiler,Project Compiler,Final Compiler Layer,final,"Operates as the Project Compiler for Zeref Skills Fleet work. Use when the project requires project compiler judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XXL,Final_Project_Index.md; Compiled_Project_Report.md; Handoff_Summary.md,
104,zeref-final-source-validator,Source Validator,Final Compiler Layer,final,"Operates as the Source Validator for Zeref Skills Fleet work. Use when the project requires source validator judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Source_Validation_Report.md; Evidence_Gap_Log.md,
105,zeref-final-deliverable-packager,Deliverable Packager,Final Compiler Layer,final,"Operates as the Deliverable Packager for Zeref Skills Fleet work. Use when the project requires deliverable packager judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL,Deliverable_Packaging_Plan.md; Export_Checklist.md; Final_Folder_Map.md,
106,zeref-final-executive-reviewer,Executive Reviewer,Final Compiler Layer,final,"Operates as the Executive Reviewer for Zeref Skills Fleet work. Use when the project requires executive reviewer judgment, deliverable creation, audit support, or handoff-ready documentation.",Opus,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",XL-XXL,Executive_Final_Review.md; Approval_Decision.md; Next_Action_Memo.md,
107,zeref-system-skill-router,System Skill Router,System Governance Layer,system,"Operates as the System Skill Router for Zeref Skills Fleet work. Use when the project requires system skill router judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Skill_Routing_Decision.md; Stack_Selection_Table.md,
108,zeref-system-caveman-compressor,Caveman Compressor,System Governance Layer,system,"Operates as the Caveman Compressor for Zeref Skills Fleet work. Use when the project requires caveman compressor judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Compressed_Context_Brief.md; Constraint_Preservation_Log.md,
109,zeref-system-token-budget-controller,Token Budget Controller,System Governance Layer,system,"Operates as the Token Budget Controller for Zeref Skills Fleet work. Use when the project requires token budget controller judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",S-M,Token_Budget_Plan.md; Context_Loading_Map.md,
110,zeref-system-evidence-memory-keeper,Evidence Memory Keeper,System Governance Layer,system,"Operates as the Evidence Memory Keeper for Zeref Skills Fleet work. Use when the project requires evidence memory keeper judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M-L,Evidence_Memory_Log.md; Decision_Register.md,
111,zeref-system-marketplace-packager,Marketplace Packager,System Governance Layer,system,"Operates as the Marketplace Packager for Zeref Skills Fleet work. Use when the project requires marketplace packager judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",L,Marketplace_Package_Map.md; Release_Checklist.md; Validation_Report.json,
112,zeref-system-plugin-update-diagnostician,Plugin Update Diagnostician,System Governance Layer,system,"Operates as the Plugin Update Diagnostician for Zeref Skills Fleet work. Use when the project requires plugin update diagnostician judgment, deliverable creation, audit support, or handoff-ready documentation.",Sonnet,"Claude Project; Claude Code or Claude Cowork when files, repositories, or exports are involved","Notion, Linear, Google Drive, GitHub, Figma, Web where relevant",M,Plugin_Update_Diagnosis.md; Fix_Command_List.md,
